,City,Latitude,Longitude,Temperature,Humidity,Clouds,Wind Speed
61,zhigansk,66.77,123.37,55.33,67,0,9.98
62,thompson,55.74,-97.86,66.2,72,75,10.29
63,pevek,69.7,170.31,35.53,96,94,3.22
64,nanortalik,60.14,-45.24,45.99,80,100,8.37
65,bilibino,68.05,166.44,48.92,72,100,3.13
66,dikson,73.51,80.55,56.53,69,100,12.62
67,hambantota,6.12,81.12,78.8,100,20,6.93
68,beja,36.73,9.18,103.1,22,20,14.99
69,fortuna,40.6,-124.16,60.24,83,21,1.01
70,ponta do sol,32.67,-17.1,72.14,60,20,21.92
71,qasigiannguit,68.82,-51.19,51.8,53,75,16.11
72,butaritari,3.07,172.79,82.71,76,100,8.52
73,virginia beach,36.85,-75.98,92.01,59,75,12.75
74,hobyo,5.35,48.53,78.6,77,0,27.81
75,saint george,37.1,-113.58,100.06,11,1,3.36
76,pontes e lacerda,-15.23,-59.34,95.67,21,0,4.7
77,khor,47.89,134.95,68.76,94,100,4.88
78,crotone,39.09,17.12,89.6,55,0,4.7
79,baglung,28.27,83.59,70.95,79,98,1.83
80,raglan,-37.8,174.88,52.66,64,100,8.01
81,jamestown,42.1,-79.24,78.24,53,75,9.17
82,sur,22.57,59.53,86.34,70,98,17.02
83,araouane,18.9,-3.53,105.49,12,0,8.34
84,emerald,-23.53,148.17,51.8,53,0,6.93
85,launceston,-41.45,147.17,47.34,93,40,10.29
86,nikolskoye,59.7,30.79,57.94,67,100,11.18
87,ambilobe,-13.2,49.05,70.32,88,7,3.13
88,cidreira,-30.18,-50.21,61.2,75,0,11.27
89,ternate,0.8,127.4,79.14,80,97,3.04
90,tarauaca,-8.16,-70.77,91.13,34,85,3.91
91,bella vista,36.43,-94.23,69.91,100,90,10.29
92,xichang,27.9,102.26,66.24,81,99,0.85
93,antioch,36.21,36.16,84.2,70,8,18.34
94,najran,17.49,44.13,87.8,38,75,14.99
95,agirish,61.92,63.02,52.32,98,47,6.08
96,mataura,-46.19,168.86,47.53,91,100,2.75
97,katsuura,35.13,140.3,73.44,100,75,2.24
98,shalinskoye,55.72,93.76,54.97,94,100,7.02
99,barrow,71.29,-156.79,37.4,86,40,9.17
100,sorong,-0.88,131.25,78.49,88,96,10.87
101,kingston,18.0,-76.79,85.96,70,40,19.46
102,ketchikan,55.34,-131.65,68.38,64,1,17.22
103,kapaa,22.08,-159.32,75.65,88,90,14.99
104,mbigou,-1.9,11.91,69.96,77,0,2.21
105,yakeshi,49.28,120.73,60.24,93,64,4.56
106,hilo,19.73,-155.09,76.57,65,40,5.82
107,whitehorse,60.72,-135.05,68.94,37,20,8.05
108,bonthe,7.53,-12.51,78.4,84,21,7.81
109,bara,10.37,10.73,77.13,81,0,6.31
110,lompoc,34.64,-120.46,61.79,82,0,10.29
111,port blair,11.67,92.75,82.83,80,100,15.19
112,bredasdorp,-34.53,20.04,53.6,87,0,3.36
113,thinadhoo,0.53,72.93,83.08,78,100,12.73
114,koumac,-20.57,164.28,68.85,85,50,18.77
115,faanui,-16.48,-151.75,78.82,81,0,10.38
116,xam nua,20.42,104.04,69.22,93,98,0.22
117,east london,-33.02,27.91,62.33,62,0,3.56
118,sao filipe,14.9,-24.5,75.69,75,40,9.71
119,deputatskiy,69.3,139.9,43.11,94,43,1.86
120,chuy,-33.7,-53.46,57.67,78,100,3.58
121,sitka,57.05,-135.33,66.2,72,75,8.05
122,forio,40.73,13.86,81.59,76,0,1.01
123,russkaya polyana,49.42,31.92,61.09,79,0,7.0
124,san felipe,10.34,-68.74,88.9,52,1,8.48
125,arraial do cabo,-22.97,-42.03,71.6,68,75,11.41
126,margate,51.38,1.39,80.69,50,54,5.99
127,aklavik,68.22,-135.01,73.4,53,5,13.87
128,lokosovo,61.13,74.82,57.52,73,100,4.92
129,paita,-5.09,-81.11,73.4,64,0,16.11
130,cravo norte,6.3,-70.2,86.63,64,99,9.86
131,motygino,58.18,94.76,54.25,87,37,2.39
132,west wendover,40.74,-114.07,93.2,16,1,11.41
133,adrar,20.5,-10.07,100.71,24,0,6.33
134,melfi,41.0,15.65,84.96,58,40,8.05
135,kibaya,-5.3,36.57,58.01,92,11,7.14
136,iqaluit,63.75,-68.51,57.2,87,75,2.24
137,lavrentiya,65.58,-171.0,44.53,78,24,4.79
138,morondava,-20.28,44.28,75.51,40,0,19.39
139,vaini,-21.2,-175.2,66.2,93,40,9.17
140,georgetown,5.41,100.34,77.63,88,20,2.24
141,sanchazi,42.08,126.6,64.99,91,100,4.03
142,sarai mir,26.02,82.92,82.4,88,40,5.28
143,yichun,47.7,128.9,66.52,95,100,3.87
144,plainview,40.78,-73.47,75.51,73,90,3.36
145,comodoro rivadavia,-45.87,-67.5,55.4,47,80,4.7
146,nardaran,40.56,50.01,75.2,69,0,6.93
147,nagua,19.38,-69.85,86.0,84,75,13.87
148,ibra,22.69,58.53,88.27,56,99,6.91
149,ganzhou,28.82,115.43,81.21,79,91,1.21
150,talnakh,69.49,88.4,60.8,82,100,6.71
151,coahuayana,18.73,-103.68,75.2,83,75,5.21
152,sinnamary,5.38,-52.95,82.44,77,88,1.79
153,porto novo,6.5,2.6,77.0,88,40,11.41
154,havoysund,71.0,24.66,50.85,93,75,8.05
155,bjornevatn,69.67,29.98,48.2,87,75,14.99
156,narsaq,60.92,-46.05,55.4,58,75,8.05
157,charlestown,-32.95,151.67,45.28,88,17,3.67
158,trat,12.5,102.5,77.63,90,100,10.29
159,manado,1.49,124.85,77.0,94,40,1.12
160,trapani,37.83,12.67,86.99,62,0,5.82
161,sao joao da barra,-21.64,-41.05,71.6,68,75,9.17
162,saint-philippe,-21.36,55.77,65.26,77,1,6.93
163,haines junction,60.75,-137.51,73.06,37,47,2.1
164,kathmandu,27.72,85.32,71.6,100,75,3.36
165,norman wells,65.28,-126.83,71.6,60,40,6.93
166,brainerd,46.36,-94.2,81.86,39,1,2.95
167,yumen,40.28,97.2,62.6,24,0,2.33
168,straumen,63.87,11.3,63.5,72,62,2.24
169,camacha,33.08,-16.33,71.6,68,20,11.41
170,teya,60.38,92.63,52.23,89,99,2.21
171,vitim,59.45,112.56,60.73,75,100,10.6
172,antsohihy,-14.88,47.99,72.23,71,9,7.54
173,kavieng,-2.57,150.8,82.15,78,96,6.62
174,la esperanza,14.87,-91.57,69.01,60,31,7.0
175,clyde river,70.47,-68.59,44.6,100,90,9.17
176,nador,35.17,-2.93,85.17,66,47,4.7
177,keflavik,64.0,-22.56,52.47,93,90,14.99
178,faya,18.39,42.45,65.3,100,75,9.17
179,chokurdakh,70.63,147.92,46.9,75,100,2.35
180,le marin,14.47,-60.87,85.24,66,40,14.99
181,tasiilaq,65.61,-37.64,46.4,61,5,9.17
182,udachnyy,66.42,112.4,57.2,62,0,6.71
183,monrovia,6.3,-10.8,77.0,94,75,3.36
184,burnie,-41.07,145.92,48.45,91,100,1.01
185,kaitangata,-46.28,169.85,51.01,85,100,4.0
186,yamada,39.47,141.95,68.52,91,97,4.74
187,mackay,-21.15,149.2,60.8,87,90,9.17
188,lagoa,39.05,-27.98,69.85,70,35,9.8
189,bluff,-46.6,168.33,50.13,89,100,7.29
190,saint-georges,12.06,-61.75,86.0,74,20,18.34
191,naryan-mar,67.67,53.09,53.82,87,88,9.57
192,port hedland,-20.32,118.57,53.6,40,0,8.05
193,hithadhoo,-0.6,73.08,83.05,75,100,12.24
194,beringovskiy,63.05,179.32,50.9,71,100,4.85
195,codrington,-38.27,141.97,48.83,75,100,14.83
196,ilulissat,69.22,-51.1,51.8,53,75,16.11
197,coquimbo,-29.95,-71.34,71.6,26,0,8.05
198,grand baie,-20.02,57.58,69.01,83,15,1.99
199,kaabong,3.48,34.15,65.98,77,100,5.19
200,lazaro cardenas,17.96,-102.2,90.32,54,10,6.96
201,luanda,-8.84,13.23,71.6,83,75,9.17
202,rio gallegos,-51.62,-69.22,37.4,86,40,16.11
203,namatanai,-3.67,152.43,79.75,84,77,9.73
204,severo-kurilsk,50.68,156.12,50.61,86,13,16.31
205,hutang,31.53,119.48,77.0,98,55,3.0
206,namioka,40.71,140.59,71.01,95,36,1.43
207,mnogovershinnyy,53.94,139.92,52.59,80,100,5.23
208,san rafael del sur,11.85,-86.44,93.2,46,40,11.41
209,paamiut,61.99,-49.67,44.76,93,100,9.95
210,ribeira grande,38.52,-28.7,75.2,57,20,8.05
211,labuhan,-6.88,112.21,74.44,81,94,9.6
212,mount gambier,-37.83,140.77,48.2,81,7,12.75
213,pesca,5.55,-73.05,58.44,75,100,6.71
214,mount isa,-20.73,139.5,44.6,36,0,4.7
215,le port,-20.94,55.29,62.92,78,40,9.17
216,hobart,-42.88,147.33,48.09,81,100,10.29
217,dublin,37.7,-121.94,68.2,56,1,8.05
218,salalah,17.02,54.09,84.2,89,75,4.7
219,beisfjord,68.38,17.6,60.8,77,40,20.8
220,ust-tsilma,65.44,52.15,51.91,92,100,1.54
221,marawi,8.0,124.29,75.99,93,100,3.0
222,samana,19.21,-69.34,86.0,84,75,13.87
223,koronowo,53.31,17.94,62.51,72,20,9.17
224,ekimchan,53.07,132.97,61.12,91,97,3.36
225,carnarvon,-24.87,113.63,62.6,77,0,13.87
226,saint-denis,48.92,2.33,88.09,38,0,6.93
227,tabas,33.6,56.92,93.2,20,33,9.17
228,san pedro,14.35,121.02,79.84,94,100,2.75
229,aketi,2.74,23.78,78.82,67,100,1.54
230,moses lake,47.13,-119.28,97.38,25,1,14.99
231,mocuba,-16.84,36.99,61.39,86,18,4.27
232,hamilton,39.18,-84.53,81.93,61,40,5.82
233,san juan del sur,11.25,-85.87,87.8,74,40,4.7
234,katobu,-4.94,122.53,71.91,91,92,3.49
235,banjar,-8.19,114.97,75.2,100,75,5.82
236,provideniya,64.38,-173.3,46.6,73,1,5.86
237,andradas,-22.07,-46.57,72.3,47,68,2.24
238,bose,45.46,8.01,84.4,45,0,5.99
239,manzhouli,49.6,117.43,61.68,89,59,2.33
240,lockhart,28.62,-81.44,94.53,46,75,3.36
241,anadyr,64.75,177.48,51.35,87,40,8.95
242,bandarbeyla,9.49,50.81,79.52,76,0,34.09
243,buchach,49.06,25.39,66.11,63,3,4.47
244,pasni,25.26,63.47,84.06,85,100,5.64
245,tuktoyaktuk,69.45,-133.04,66.2,68,40,17.22
246,okha,53.57,142.95,52.81,78,100,7.0
247,puerto escondido,15.85,-97.07,89.6,59,40,6.78
248,ancud,-41.87,-73.82,49.96,87,90,16.11
249,lebu,-37.62,-73.65,54.0,70,100,14.45
250,port lincoln,-34.73,135.87,56.05,47,8,15.84
251,leningradskiy,69.38,178.42,37.04,89,100,8.59
252,kajaani,64.23,27.73,57.2,62,75,6.93
253,murray bridge,-35.12,139.27,51.67,64,100,1.99
254,rocha,-34.48,-54.33,59.22,69,100,3.31
255,tagusao,9.19,117.81,80.17,83,100,12.97
256,cobija,-11.03,-68.77,91.94,28,0,2.3
257,port-gentil,-0.72,8.78,75.2,88,90,15.21
258,te anau,-45.42,167.72,46.17,90,100,1.72
259,hami,42.8,93.45,75.49,19,0,8.14
260,pahrump,36.21,-115.98,95.04,11,1,13.87
261,fort frances,48.6,-93.4,82.71,39,20,8.05
262,umtata,-31.59,28.78,51.8,71,0,2.24
263,markova,48.68,24.41,66.09,63,1,4.47
264,saint-leu,-21.15,55.28,64.72,77,2,6.93
265,jalu,29.03,21.55,87.26,33,0,18.84
266,alice springs,-23.7,133.88,35.6,40,0,4.7
267,zaraza,9.35,-65.32,84.34,83,92,1.21
268,dingle,11.0,122.67,76.42,90,100,7.52
269,bodden town,19.28,-81.25,88.63,70,40,17.22
270,griffith,41.53,-87.42,79.21,50,1,8.05
271,coihaique,-45.58,-72.07,37.4,74,90,4.7
272,sao felix do xingu,-6.64,-51.99,97.09,21,0,5.88
273,santa rosa,14.31,121.11,79.83,94,100,3.06
274,goderich,43.75,-81.72,73.85,86,0,8.01
275,vila velha,-20.33,-40.29,70.45,88,90,4.7
276,rabo de peixe,37.8,-25.58,73.4,60,75,11.41
277,soyo,-6.13,12.37,72.27,81,0,9.22
278,cayenne,4.93,-52.33,89.6,55,96,5.82
279,saldanha,-33.01,17.94,57.2,82,0,8.05
280,santa ines,-3.67,-45.38,90.16,40,81,4.7
281,hasaki,35.73,140.83,71.55,100,75,5.82
282,slave lake,55.28,-114.77,73.4,60,20,9.17
283,christchurch,-43.53,172.63,50.7,87,100,10.29
284,kibakwe,-6.72,36.37,61.86,82,0,3.85
285,luderitz,-26.65,15.16,75.2,23,0,6.93
286,san andres,12.58,-81.7,89.6,70,75,4.7
287,pangnirtung,66.15,-65.71,50.0,100,90,6.93
288,san quintin,30.48,-115.95,79.02,55,0,8.43
289,union,40.63,-74.27,78.67,73,75,3.71
290,dudinka,69.41,86.18,60.8,82,100,6.71
291,florida,28.75,-82.5,92.35,59,1,6.17
292,madikeri,12.42,75.73,65.23,100,100,3.22
293,esperance,-33.87,121.9,50.0,100,90,5.82
294,takoradi,4.88,-1.76,75.0,85,100,10.16
295,lokomotivnyy,53.01,60.57,65.3,74,41,8.41
296,khash,28.22,61.22,76.55,26,0,6.78
297,mogok,22.92,96.5,67.05,100,100,2.59
298,mikkeli,61.69,27.27,55.99,71,1,1.99
299,jiuquan,39.74,98.52,65.59,26,0,2.28
300,betafo,-19.83,46.85,59.05,77,86,7.4
301,aitape,-3.14,142.35,77.49,87,69,3.69
302,alofi,-19.06,-169.92,59.0,100,5,16.11
303,yulara,-25.24,130.99,44.6,30,0,6.93
304,kvarkeno,52.08,59.73,67.42,73,1,5.57
305,salinopolis,-0.61,-47.36,82.36,79,28,13.11
306,chunhuhub,19.55,-88.68,93.81,48,91,3.31
307,dunedin,-45.87,170.5,48.99,90,100,4.0
308,nioro,13.35,-15.75,78.94,86,100,9.33
309,upernavik,72.79,-56.15,46.35,59,83,11.27
310,airai,-8.93,125.41,51.51,70,55,2.68
311,balkanabat,39.51,54.37,82.47,24,0,6.82
312,syumsi,57.11,51.61,55.74,94,43,4.41
313,loukhi,66.08,33.04,53.76,85,99,4.65
314,baruun-urt,46.68,113.28,66.52,61,54,6.89
315,miraflores,19.22,-98.81,71.51,49,40,4.7
316,gunjur,13.2,-16.73,84.2,79,75,14.99
317,wajima,37.4,136.9,73.83,90,0,6.96
318,buala,-8.14,159.59,80.49,78,96,6.53
319,acari,-15.43,-74.62,78.01,34,0,7.54
320,banfora,10.63,-4.77,78.55,85,100,2.42
321,mandera,3.94,41.87,85.62,47,88,17.96
322,tshikapa,-6.42,20.8,80.55,26,59,0.83
323,juneau,58.3,-134.42,67.53,52,1,4.7
324,sidney,-33.87,151.21,43.9,93,13,8.05
325,edd,13.93,41.69,86.4,65,100,2.48
326,cockburn town,21.46,-71.14,83.07,82,14,30.4
327,kizukuri,40.81,140.39,71.01,95,68,2.84
328,vung tau,10.35,107.08,82.33,78,100,18.95
329,mahon,39.89,4.27,82.4,69,0,5.82
330,biltine,14.53,20.92,83.46,59,7,6.69
331,ishigaki,24.34,124.16,84.24,81,57,14.12
332,morant bay,17.88,-76.41,86.07,70,40,19.46
333,raduzhnyy,62.1,77.47,55.72,65,53,5.73
334,san patricio,19.22,-104.7,95.0,75,40,6.62
335,hulan ergi,47.2,123.63,72.3,66,7,10.27
336,thayetmyo,19.32,95.18,77.94,90,80,2.71
337,acapulco,16.86,-99.89,87.8,66,40,3.36
338,port shepstone,-30.74,30.45,61.99,79,0,7.72
339,tautira,-17.73,-149.15,77.0,78,90,12.75
340,la libertad,-2.23,-80.9,71.6,83,75,8.05
341,raymond,43.9,-70.47,82.81,53,3,1.01
342,road town,18.42,-64.62,86.92,66,40,12.75
343,yar-sale,66.83,70.83,54.32,67,85,3.36
344,iwanai,42.97,140.51,65.46,90,6,3.2
345,eseka,3.65,10.77,71.4,96,46,3.04
346,chiredzi,-21.05,31.67,61.16,53,0,4.0
347,tigil,57.8,158.67,50.14,84,67,3.83
348,avera,33.19,-82.53,93.99,50,40,10.29
349,muzhi,65.37,64.67,57.24,62,100,5.77
350,komsomolskiy,40.43,71.72,77.0,47,0,3.94
351,chapais,49.78,-74.85,75.2,64,75,9.17
352,biak,-0.91,122.88,75.58,84,100,7.47
353,darhan,49.49,105.92,62.02,91,100,5.37
354,daru,-9.08,143.21,74.14,73,81,15.48
355,onokhoy,51.93,108.07,60.8,87,20,4.47
356,leh,34.17,77.58,62.1,40,48,3.83
357,banda aceh,5.56,95.32,80.98,71,99,11.7
358,alyangula,-13.85,136.42,57.2,93,5,13.31
359,sorland,67.67,12.69,55.4,87,90,2.24
360,fort nelson,58.81,-122.7,73.4,60,5,2.24
361,boyolangu,-8.12,111.89,71.29,88,36,3.2
362,datong,40.09,113.29,70.29,69,100,4.21
363,vila franca do campo,37.72,-25.43,73.4,60,75,11.41
364,akureyri,65.68,-18.09,51.8,81,90,9.17
365,ulladulla,-35.35,150.47,43.95,100,71,8.05
366,ust-barguzin,53.45,108.98,56.97,95,100,2.06
367,pampierstad,-27.78,24.69,52.16,36,0,7.47
368,zyryanovsk,49.74,84.27,52.11,77,4,1.61
369,cooma,-36.23,149.13,30.2,100,100,5.82
370,sfantu gheorghe,45.87,25.78,72.0,69,57,6.13
371,carballo,43.21,-8.69,66.79,88,75,6.93
372,shimoda,34.67,138.95,71.01,94,2,1.01
373,novonukutskiy,53.7,102.71,59.68,87,0,5.99
374,reguengos de monsaraz,38.43,-7.53,95.9,24,20,8.05
375,ocean city,39.28,-74.57,73.83,88,90,11.81
376,qinhuangdao,39.93,119.59,75.97,87,7,2.82
377,muskegon,43.3,-86.13,78.8,37,75,6.93
378,kargasok,59.06,80.86,49.37,93,3,3.69
379,auki,-8.77,160.7,77.54,85,30,5.12
380,kayseri,38.74,35.5,73.4,49,0,8.05
381,quanzhou,24.91,118.59,84.2,89,75,2.24
382,nago,26.59,127.98,84.0,79,88,10.0
383,medicine hat,50.05,-110.67,80.1,61,75,8.05
384,cherskiy,68.75,161.3,41.67,83,100,8.63
385,santa maria,-29.68,-53.81,63.12,80,95,3.24
386,north bend,43.41,-124.22,66.83,72,40,5.19
387,el alto,-4.27,-81.21,73.4,64,9,16.11
388,geraldton,-28.77,114.6,50.0,93,40,8.05
389,souillac,-20.52,57.52,71.6,88,75,5.82
390,la ronge,55.1,-105.28,75.2,44,20,9.17
391,namibe,-15.2,12.15,66.0,88,2,1.66
392,westport,41.14,-73.36,76.78,78,75,5.82
393,juiz de fora,-21.76,-43.35,66.61,68,28,5.17
394,lagos,6.58,3.75,77.0,88,75,4.7
395,half moon bay,37.46,-122.43,66.88,82,90,11.41
396,nelson bay,-32.72,152.15,45.95,100,10,5.82
397,tuatapere,-46.13,167.68,49.96,90,100,2.28
398,grindavik,63.84,-22.43,51.8,93,90,14.99
399,xining,36.62,101.77,55.58,70,67,4.07
400,kieta,-6.22,155.63,79.03,79,84,2.51
401,kalabo,-14.97,22.68,64.26,31,0,7.58
402,sambava,-14.27,50.17,72.52,79,43,15.86
403,wawa,9.9,4.42,75.74,92,100,5.48
404,manama,26.22,50.58,96.8,71,0,13.87
405,labuan,5.28,115.24,78.39,94,20,4.41
406,wexford,52.33,-6.46,63.21,93,75,14.99
407,kyren,51.68,102.14,59.95,76,91,2.28
408,boquira,-12.82,-42.73,80.78,38,77,13.11
409,bathsheba,13.22,-59.52,87.8,62,40,13.87
410,ogbomosho,8.13,4.25,71.38,94,80,7.11
411,longyearbyen,78.22,15.64,48.2,87,20,3.36
412,diu,20.71,70.98,83.95,83,100,8.66
413,shebalino,51.29,85.68,50.18,78,45,2.93
414,kalat,29.02,66.59,69.69,45,2,3.2
415,hare bay,48.85,-54.01,64.2,93,90,9.17
416,kirkuk,35.47,44.39,87.6,13,0,5.23
417,tabou,4.42,-7.35,75.81,83,81,10.54
418,ahipara,-35.17,173.17,57.0,81,77,13.98
419,byron bay,-28.65,153.62,51.31,93,59,8.05
420,isangel,-19.55,169.27,75.2,78,98,8.05
421,saint-joseph,-21.37,55.62,65.34,77,0,6.93
422,susuman,62.78,148.17,41.94,78,58,1.95
423,plattling,48.78,12.87,70.36,54,0,1.41
424,arenapolis,-14.45,-56.85,96.71,18,0,5.64
425,tocopilla,-22.09,-70.2,68.92,37,13,3.11
426,arroyo,41.61,-4.8,92.79,14,0,9.17
427,hastings,50.86,0.57,72.59,64,72,4.0
428,okhotsk,59.38,143.3,55.67,68,0,4.25
429,maniitsoq,65.42,-52.9,45.48,95,100,23.11
430,meulaboh,4.14,96.13,76.01,76,100,3.56
431,cartagena del chaira,1.33,-74.84,82.85,73,0,1.7
432,macau,22.2,113.55,82.4,88,40,21.92
433,svodin,47.91,18.5,78.48,50,0,1.01
434,victoria,22.29,114.16,81.03,83,100,18.01
435,dong xoai,11.53,106.92,74.62,97,100,1.95
436,zaysan,47.47,84.87,60.93,33,5,6.29
437,sioux lookout,50.1,-91.92,80.6,42,20,3.36
438,waipawa,-41.41,175.52,48.0,87,100,8.05
439,vila do maio,15.13,-23.22,80.6,65,75,11.41
440,brae,60.4,-1.35,60.8,77,100,24.16
441,russkiy aktash,55.04,52.12,60.8,87,20,6.71
442,kokstad,-30.55,29.42,49.1,48,0,4.23
443,lucapa,-8.42,20.74,73.11,30,70,1.81
444,birjand,32.87,59.22,78.8,29,0,11.41
445,ingham,42.6,-84.38,78.96,44,40,6.93
446,henties bay,-22.12,14.28,70.09,36,0,15.1
447,tilichiki,60.47,166.1,50.49,93,45,5.84
448,doha,25.29,51.53,95.67,71,0,5.82
449,makakilo city,21.35,-158.09,80.4,61,75,5.82
450,lorengau,-2.02,147.27,82.29,78,57,8.43
451,anan,33.92,134.65,78.8,83,20,4.7
452,synya,65.37,58.04,52.41,95,100,5.06
453,thanatpin,17.21,96.3,80.6,94,40,3.36
454,altagracia de orituco,9.86,-66.38,84.51,68,44,5.95
455,anqing,30.51,117.05,82.27,80,25,2.37
456,nome,64.5,-165.41,55.51,87,90,9.17
457,lahaina,20.88,-156.68,79.84,51,20,11.41
458,hereford,52.06,-2.71,71.58,78,100,1.01
459,san ramon de la nueva oran,-23.13,-64.33,72.0,31,0,4.7
460,manuk mangkaw,4.8,119.85,77.9,88,100,10.65
461,prainha,-1.8,-53.48,95.38,35,68,4.7
462,pacific grove,36.62,-121.92,60.87,77,90,4.7
463,tam ky,15.57,108.48,80.6,88,75,9.46
464,atasu,48.68,71.64,72.0,39,28,6.87
465,seshcha,53.74,33.34,54.18,95,100,6.17
466,norilsk,69.35,88.2,60.8,82,100,6.71
467,los teques,10.34,-67.04,81.95,53,13,3.09
468,san cristobal,7.77,-72.22,93.2,38,40,21.92
469,san ramon,37.78,-121.98,72.34,56,1,8.05
470,horta,38.53,-28.63,75.2,57,20,8.05
471,poum,-20.23,164.02,70.93,84,25,27.47
472,sawtell,-30.38,153.1,51.87,81,90,9.17
473,seoul,37.57,126.98,77.0,100,90,4.7
474,plettenberg bay,-34.05,23.37,55.85,80,0,4.16
475,oranjestad,12.52,-70.03,93.2,52,20,21.92
476,belmonte,-15.86,-38.88,78.8,57,20,6.93
477,bundaberg,-24.85,152.35,55.72,82,75,8.05
478,samarinda,-0.5,117.15,73.67,97,100,1.23
479,zhezkazgan,47.8,67.71,76.35,30,0,12.77
480,abonnema,4.71,6.79,74.43,86,100,6.08
481,narok,-1.08,35.86,59.11,72,4,6.71
482,muravlenko,63.79,74.52,53.76,68,44,8.72
483,necochea,-38.55,-58.74,55.0,62,0,5.99
484,talcahuano,-36.72,-73.12,55.4,76,100,9.17
485,san-pedro,4.75,-6.64,75.27,84,94,7.67
486,bismarck,46.81,-100.78,88.02,43,1,16.11
487,pinotepa de don luis,16.42,-97.92,88.68,51,30,4.72
488,mizan teferi,6.98,35.58,61.9,92,100,2.35
489,bonfim,3.08,-59.95,91.31,46,86,6.87
490,oga,46.46,10.35,67.21,72,12,2.24
491,bouca,6.51,18.27,72.36,91,53,1.77
492,bolobo,-2.17,16.23,84.36,43,96,1.86
493,nuuk,64.18,-51.72,48.2,87,90,36.91
494,baylo,7.85,126.06,74.62,91,100,0.09
495,fuxin,42.02,121.66,75.29,85,100,9.31
496,chernaya kholunitsa,58.85,51.72,54.3,97,100,5.44
497,havelock,34.88,-76.9,88.48,20,40,14.99
498,traverse city,44.76,-85.62,78.58,47,20,8.05
499,champoton,19.35,-90.72,91.4,55,40,6.93
